"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"Slco3a1",52.1893888986165,5.95700498448595,5.35221934280222e-07,1.78687017804825e-05,313.372421840096
"Ccl17",22.2417100289126,5.25021200281504,1.24619422589605e-05,0.000307076178610521,134.855478702246
"Igtp",67.7681877076215,4.19872295049824,1.47711211677023e-08,6.88648897516726e-07,409.961772848684
"Saa3",675.017306760729,4.14429736076657,2.12907403601786e-62,5.59165810992823e-59,4100.91320982668
"Il1b",749.307226187987,4.06993323658992,1.05652842182974e-95,8.32438743559652e-92,4516.12838379105
"Ms4a4c",50.3939320382047,3.99256649540206,2.60596737531298e-08,1.12815477747752e-06,303.447417927617
"Gpd2",26.664426709899,3.97501445237562,3.82781891690361e-06,0.000105452395966026,161.410222877826
"Gm14446",80.4570762140236,3.95213647462045,7.29170344779035e-07,2.3449523046996e-05,488.800553223746
"Cp",18.271555543177,3.76991560967053,1.52700297083582e-05,0.000369056945006609,110.330700442235
"Tarm1",24.9635178853584,3.72605194831152,1.41856673338403e-05,0.000343904224379471,150.289245787761
"Ms4a6c",77.6642503661346,3.67600878141793,3.95437789012883e-16,4.65023035766045e-14,470.307905650917
"Nfkbiz",44.717292997181,3.61758211517276,4.83254948129985e-14,4.58742859797127e-12,269.687133765108
"Ptgs2",82.8824161831944,3.60932200667134,1.18477997535115e-07,4.42411441980649e-06,493.074685974712
"Marco",259.869885609712,3.56153737416554,2.18792479788535e-40,1.14924396550258e-37,1589.29773060826
"Cxcl3",377.094365945261,3.49851669225914,4.99691281252424e-33,1.87479409761326e-30,2319.67528073641
"Ccnd2",43.1706035226903,3.46023908937817,5.7596904285661e-07,1.9067479364148e-05,259.789836706386
"Nt5c3",69.2063143895764,3.44322033920822,1.81993052132062e-08,8.33676312644488e-07,417.874264076262
"Cav1",89.6008716717567,3.40387041302908,1.36603108095484e-13,1.22306350986854e-11,543.287457995981
"Ccl3",1197.45065616474,3.40338284606687,1.56594421234986e-69,6.16903722455228e-66,7147.4273003948
"Zbp1",52.6181271393127,3.3979580763438,4.55997210972904e-07,1.53538548087842e-05,317.373851458655
