"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"Slco3a1",52.1893888986165,6.75478735874468,1.20889980450909e-08,3.92916518134866e-07,313.372421840096
"Upp1",29.2490408698257,5.97449650645298,7.2882790278568e-07,1.73853158798994e-05,175.759029408769
"Phf11a",18.5059856014771,5.90404907794836,1.22908960156933e-06,2.82448252664861e-05,111.628963273767
"Ch25h",46.2256279584265,5.66687394468213,5.69495842861651e-08,1.61317607155047e-06,276.756336871293
"Ifi44",26.4981989582126,5.51139602775055,5.20505487849129e-06,0.000102815587648261,159.539844810247
"Atp10a",12.3318795307645,5.42281444096617,7.39627596021004e-06,0.000139997260518314,74.3041071491971
"Serpina3f",25.913086608774,5.30243398181121,1.03598723495532e-05,0.000189497396026132,156.267965250056
"Vcam1",7.08527509120832,5.12558866705065,2.69021681197384e-05,0.000444266978787096,42.6512168721903
"Papd7",22.6729374223795,5.11966371473815,1.87032384240151e-05,0.000320548359376293,137.275920511042
"Ddx60",10.854492631969,5.09422397145899,3.01059613508231e-05,0.000492193251903837,65.5980883040506
"Pydc4",17.4417695271757,5.06128912036787,3.59864515955381e-05,0.00057564210218902,104.891190317774
"Gm14446",80.4570762140236,4.95341652692016,3.98512351215546e-10,1.63370038252081e-08,488.800553223746
"Ccl17",22.2417100289126,4.89168783463425,4.79508710162223e-05,0.000737826249741706,134.855478702246
"Gbp4",48.8353316660619,4.87630042097664,1.165696196813e-08,3.80389982944017e-07,295.345404472686
"Igtp",67.7681877076215,4.8670381453224,4.10004743543761e-11,1.91132497018857e-09,409.961772848684
"Oas2",30.6432423069105,4.64227553577237,8.30467449015102e-06,0.00015538884057489,185.580959500607
"I830012O16Rik",40.9027458148877,4.50409169602081,1.46609112620737e-07,3.84577858765264e-06,248.875308073948
"Gbp6",23.2074899604954,4.48809495100262,1.59104730994025e-05,0.000276754028880438,139.880091878139
"Ms4a4c",50.3939320382047,4.36695244472048,9.80344966655792e-10,3.8084067799895e-08,303.447417927617
"Nt5c3",69.2063143895764,4.33363492619803,8.2389611058715e-13,4.76691097175175e-11,417.874264076262
"Fgl2",27.9731821408262,4.31083807650473,5.14478075305464e-05,0.00077580631022957,170.117478970462
"Tpst1",27.6099222803456,4.27425513003405,4.77414976323094e-07,1.18022768995267e-05,167.352278580793
"Ccnd2",43.1706035226903,4.27410310139687,4.56149432770177e-10,1.84221142204906e-08,259.789836706386
"Il12a",26.0199726532827,4.26942421175636,4.32528801709117e-05,0.000675971257536968,155.023994645278
"1600014C10Rik",29.4845724823895,4.24008817609336,8.99133340460692e-07,2.10779591709147e-05,178.472776332762
"Flnb",22.763759349756,4.19544873375106,9.68568061600899e-07,2.26406253482525e-05,136.724443141853
"Cmpk2",612.794170088117,4.18964484164446,1.75037429566942e-59,1.42795535040711e-56,3685.9644637656
"Zbp1",52.6181271393127,4.11228905920164,7.23006067412153e-10,2.86324441647978e-08,317.373851458655
"Gbp3",116.481315804691,4.1104206581551,8.13710905141477e-23,1.14452647657658e-20,700.85021275422
"Cxcl10",1105.1431896348,4.10572987724173,2.06196038110271e-62,1.8690525321151e-59,6628.44419687083
"Gbp5",68.1836087097243,4.10326604824423,2.56494270631442e-11,1.23087074106547e-09,409.433642764095
"Ifit1",626.240877904207,4.00713367282591,5.76860571689834e-65,5.88253567980708e-62,3766.92042554447
"Gbp2",387.545748452688,4.00377019727375,8.92840806055356e-74,1.45675905915992e-70,2339.08149667131
"Slfn4",39.7069718039522,3.96321318744177,6.34138633476861e-10,2.52356242531914e-08,237.87807793089
"Serpina3g",175.810451749824,3.96028741501708,2.29964547613419e-25,3.53971845175524e-23,1065.87365162426
"Cav1",89.6008716717567,3.95237708829308,4.76428758230863e-18,4.85838226205922e-16,543.287457995981
"Gpd2",26.664426709899,3.89152618498795,6.0193013837609e-06,0.000116363650921141,161.410222877826
"Ifit3",305.479609463459,3.82375580228463,3.07766615574096e-33,8.09922596726926e-31,1852.88451348172
"Irgm1",125.433385159404,3.82372491219058,5.45159632991712e-20,6.35344612278055e-18,756.87913761965
"Ifit2",398.839837919758,3.80664961590882,3.07675688411185e-41,1.25500913302922e-38,2405.00336562989
"Cd40",197.594186683386,3.7834425418092,5.68661928009181e-33,1.40580121475724e-30,1183.3693048012
"Oasl2",197.215912889078,3.7726650088766,1.67337145699825e-30,3.32960106004677e-28,1187.0399772584
"Tarm1",24.9635178853584,3.76289100464347,1.12434320503396e-05,0.000202035063142446,150.289245787761
"Ms4a6c",77.6642503661346,3.75848536697061,7.20177283328615e-17,6.31742610472564e-15,470.307905650917
"Wdr92",42.6542658303294,3.75629831408509,1.56797316572523e-08,5.01628434744566e-07,258.696026331915
"Ifi203",93.3582036899325,3.74273696544427,1.95187340499923e-15,1.59233832379837e-13,566.059222314436
"Isg20",37.4754632251764,3.74061788222978,4.03592123546586e-08,1.19293642894676e-06,225.910308748437
"Mx1",648.317408543174,3.73176408701189,2.11635302734489e-89,8.6326039985398e-86,3915.60366714834
"Slc7a2",261.701578443036,3.68923190558477,1.74380047788603e-48,8.89120268662141e-46,1577.2003738329
"Pyhin1",169.669995519362,3.68800793589653,9.99748596695558e-28,1.77303240257443e-25,1024.27159743739
"Car13",37.9617481802525,3.67697209517153,4.92154059445759e-08,1.41450505657688e-06,228.004955757027
"Oasl1",268.424338323174,3.64373928628594,1.41662756711927e-22,1.92614128209317e-20,1606.36657815416
"Socs1",34.5638196963332,3.62268426193698,1.28094116047374e-06,2.92714789555876e-05,209.832490952829
"Rsad2",1352.78292763407,3.60496624407203,8.91369780299472e-76,2.42393155589436e-72,8132.92134749152
"Cxcl9",36.0130251590739,3.5564152918957,4.22314564847105e-05,0.000665104675680055,219.883349585852
"Ptgs2",82.8824161831944,3.55426487584172,1.78324081839057e-07,4.603695758364e-06,493.074685974712
"Rtp4",110.193432522615,3.54302015984528,9.98385334796049e-20,1.13122605017586e-17,666.40895708554
"Herc6",49.1258737573922,3.50834766428756,7.51735183185139e-10,2.96263556735476e-08,296.57230392019
"AA467197",436.766189360688,3.48836499719657,5.12521353173917e-57,3.48429099932735e-54,2626.05510314027
"Oas1b",13.9313203074092,3.48340279444785,6.31772191796667e-05,0.000930324465826211,84.5678168736353
"Ifih1",191.50630208682,3.46897726406208,2.13985108096188e-26,3.4913810236974e-24,1151.25677141924
"Ccl5",3183.1424889839,3.45844033565156,2.7264244889104e-98,2.22421709805311e-94,19081.6029822856
"Helz2",80.4665251544061,3.44805234358044,6.68805990959094e-15,5.05196229096694e-13,485.113565297918
"Ifi205",61.2322208815331,3.44426507161336,1.83203795745007e-10,7.949875349403e-09,368.237445343618
"Irf7",208.618178913555,3.44253765507703,4.60877581375481e-33,1.17494978401912e-30,1258.84762937903
"Oas3",55.4281227034024,3.42498347716179,1.52670819814014e-12,8.47271121117501e-11,335.149166490165
"Mx2",73.9161426012882,3.41036925496914,1.22739810252597e-13,8.07509171000556e-12,445.508432715434
"AW112010",629.538358886405,3.40220439513308,5.08675173868671e-66,6.91628678070103e-63,3795.47212496553
"Pla2g16",20.894183644576,3.38136443791679,1.13869135659369e-05,0.000203715879102881,125.981848887479
"Il1b",749.307226187987,3.36348891317282,2.16757359424965e-65,2.52615219741266e-62,4516.12838379105
"Cfb",227.559269582704,3.35598511282151,5.88480153598214e-43,2.66712282947457e-40,1373.73721663343
"Ifi47",212.316007456484,3.34205483017001,1.61927407430019e-34,4.55518548211758e-32,1281.87085049601
"Ddx58",87.3699923202816,3.3242838019185,4.38569897914824e-17,4.11247497378061e-15,528.797822628767
"Ms4a6d",152.817727842238,3.31958398678033,5.64327175755533e-30,1.07064676739852e-27,925.551712911549
"Phf11b",60.6885895179671,3.31913713335021,1.0187772069923e-12,5.77353406796147e-11,366.035971505897
"Tap1",82.421525963935,3.30428801137164,2.92734622280274e-17,2.7768942425145e-15,497.850660391509
"Il15ra",68.5427523735177,3.29435145763251,1.6937078569691e-13,1.08797391316172e-11,414.053820303657
"Acsl1",183.680758496369,3.29343499226653,1.49966357243526e-35,5.09760642663619e-33,1106.42816535915
"Nmi",29.9584516924697,3.28001575928774,1.30376520959899e-07,3.44210892553676e-06,180.798560640554
"Saa3",675.017306760729,3.27915350249954,1.61397382689865e-39,6.26990403801866e-37,4100.91320982668
"Parp14",171.314526602148,3.25960311815965,1.76089040347479e-30,3.42031997893985e-28,1036.22220859965
"Pnp",364.520643340197,3.24547235580027,5.37978683352195e-58,3.98984554435201e-55,2204.48384935312
"Slamf7",74.9121456852489,3.21558727509298,1.85365417464976e-13,1.17225664781339e-11,449.845199316349
"Iigp1",52.5197023533452,3.2061300752122,1.73521023475477e-10,7.56997063910664e-09,317.50194588895
"Ifitm3",248.408325894762,3.2046644443495,1.19558562620609e-34,3.48342412092475e-32,1497.89725367758
"Fam26f",91.8467411116042,3.18129763676725,1.26807990520568e-14,9.31981609609722e-13,550.815185056428
"Phf11d",24.3698290017227,3.15939964425518,3.0950846510611e-06,6.54137320812344e-05,147.258339354566
"Cd69",88.8005771944781,3.14519143019565,2.93456163642961e-12,1.60672173355656e-10,533.882265237596
"Il6",344.616954464999,3.1201504443846,1.76229302726096e-27,2.99516385758227e-25,2043.42185071067
"Irg1",604.189760731596,3.10358570836169,4.21028164754403e-75,8.58686942016605e-72,3643.52259088095
"Gbp7",58.7191306391005,3.09561591636808,3.20555888534786e-13,1.95156338706476e-11,355.120230806981
"Parp12",73.1623245689043,3.08885496301834,2.43471419670153e-14,1.71761354539458e-12,442.272692563522
"Fabp3",26.6972271144549,3.04253664817216,6.08863678393132e-05,0.000899838747886082,161.282767769251
"Gpr84",50.8130400435574,3.03413527983435,3.72645998435302e-12,1.96132003563561e-10,309.981131966843
"Mnda",35.4105453838415,3.02829512441665,1.83255886137689e-08,5.75000584273565e-07,214.223960647476
"Stat1",66.6138871871823,3.01705154684723,2.07696823342568e-14,1.48630761827076e-12,405.285036593723
"Daxx",43.7570645345869,3.01517906124128,7.25909459513207e-09,2.46748723779531e-07,264.884567684218
"Sp110",90.5129819807483,3.01502837560893,5.69238405910061e-17,5.10312847847723e-15,547.446641411839
"Trim30a",150.987395729334,2.95068654937578,1.49238860048674e-27,2.59040557505763e-25,912.992160559241
"Xkr8",14.976923292295,2.9427299002874,2.1005347436698e-05,0.000355522042299963,90.2798056874379
"Isg15",223.978008139695,2.94120345282937,1.44371083933037e-31,3.27160917423811e-29,1346.60661784702
"Stat2",75.2612190356924,2.92745483510706,4.84191881082734e-17,4.48867882485562e-15,457.100154169895
"Il15",35.9463169092284,2.91042249787917,9.76827443758664e-08,2.65631942872773e-06,216.045673141206
"Mthfr",59.5631211074529,2.90265307065423,5.02626757182539e-14,3.50464024367107e-12,360.981361136498
"Cd38",74.7371891083887,2.88683507074691,2.11976273002351e-17,2.03447345312139e-15,452.918485739268
"Tnfsf10",13.6960663789484,2.86703279174907,5.90670950667262e-05,0.000876126111917004,83.3474717846537
"Usp18",111.899697213075,2.8587290312929,5.77607500888576e-19,6.11963895097273e-17,674.572660587378
"Slc25a22",37.0050727506422,2.83418801612451,1.76519429175127e-09,6.60571331748021e-08,224.699245542723
"Tnfsf15",157.66487887193,2.82430414387642,2.70904502590229e-09,9.69315321110126e-08,936.635241318123
"Lcn2",57.5924925172892,2.82067361250876,1.01434834095468e-10,4.57185290912059e-09,349.057508687224
"Nod1",28.1968622637337,2.8112569415659,3.45399956254613e-07,8.64347497891145e-06,170.712555610957
"Tma16",44.623298350585,2.8106922180285,1.77335595823482e-07,4.59271044675545e-06,270.162250962995
"Cd86",42.7277814181171,2.79791978078519,1.21191815848178e-07,3.24158306127684e-06,257.028010761295
"Ccl2",57.4585091872042,2.79710292034473,3.67324300007653e-06,7.60566405954933e-05,342.012398172354
"Bst2",104.280681797146,2.79211650793947,1.7954375890924e-18,1.87784357074562e-16,631.331504195718
"Lap3",62.4033611286879,2.78767056113663,3.40740119881816e-11,1.61367880134646e-09,376.47178379618
"Trex1",82.9095652361574,2.77052237323564,8.96241536262978e-15,6.7078334429664e-13,501.583141317257
"Slfn8",49.3106741332653,2.75979177527984,3.59827286799641e-09,1.26528922659977e-07,297.35346934496
"Il18",15.0973347345014,2.74567268458747,6.82998927900915e-05,0.000990117362745556,91.0405274700164
"Trim30d",70.1526742951964,2.74364931102154,7.98717264510723e-12,3.97313136821859e-10,423.935574786717
"Fpr2",98.5318153239206,2.74309237928327,1.7809699647295e-20,2.13664014297989e-18,596.414155748015
"Ifi204",230.69929135242,2.74277241439761,6.82087127140093e-35,2.14017953200342e-32,1395.94065603714
"Xaf1",42.4169853608718,2.73361949605029,7.77678406036245e-10,3.05014444059793e-08,256.616412058939
"Dck",22.1038653005578,2.73361439377382,1.11123856499554e-05,0.000200563810027293,134.79035731172
"Il1a",425.115095044403,2.73325016131662,1.19298857783526e-30,2.56115810999476e-28,2543.33411744181
"Fcgr1",47.1283665587265,2.72061227793628,2.90164912605869e-10,1.20773742706055e-08,286.74410616282
"Ifi35",42.599433000808,2.70906935785947,8.32702773975871e-10,3.25032977516515e-08,257.927071540525
"Casp4",41.4971732442143,2.69081465987726,5.20353412738543e-08,1.48948882144598e-06,250.634803252499
"Ccl22",141.952214825044,2.67743792941317,2.09894069633779e-23,3.11330149104066e-21,858.210124563173
"H2-M2",146.239848664328,2.67651102755589,4.7267506110629e-23,6.76505815527213e-21,884.930288874557
"Acpp",53.965153848977,2.67567162973075,2.63868658529037e-09,9.56729118346616e-08,325.697845263032
"Cd200",34.3283362076142,2.64306485167698,7.03063060083071e-08,1.96424261786222e-06,206.608219620467
"Batf2",18.8229549067196,2.64266285412703,2.34702678209321e-05,0.000393163131176929,113.856013082333
"Dram1",36.7447286418672,2.63727344685179,3.57108969466985e-09,1.26405165359591e-07,223.45304705758
"Clec4e",423.232262624096,2.57613777871368,6.72921661571054e-50,3.65979661006444e-47,2567.58030946795
"Pml",36.979947915504,2.57052849492815,1.59057705346279e-07,4.15895115453507e-06,223.418486216221
"Ccrl2",166.832495025566,2.5643819637937,9.59892755462825e-17,8.24295273585866e-15,1001.40261524804
"Dhx58",38.1858056169491,2.56115175070007,1.05519731845115e-06,2.44980469223639e-05,230.771718853063
"Ikzf1",16.8247228763983,2.55974420757092,1.3763162543082e-05,0.000241462107583791,102.162334605309
"Ctsc",197.721113937771,2.55714640259589,7.41547184932334e-32,1.72844055276514e-29,1197.59643400198
"Clic4",221.273060916339,2.55535717525065,1.59139331828264e-30,3.24564667263745e-28,1335.10094510403
"Dennd3",14.5821899375785,2.55389376960444,6.4445215377382e-05,0.000942193668546026,88.3806229020106
"Mndal",100.31627562703,2.53594017994955,5.52440297627137e-17,5.00756438671354e-15,607.433344852765
"Aim1",21.4099571333495,2.52940908078197,1.28065295316974e-05,0.000226628346897153,129.497777944942
"Cd274",262.324944503071,2.52510372038593,4.61589919143485e-37,1.71165934562389e-34,1585.98107550609
"Gch1",44.9541943978676,2.52461321634927,1.9328848525683e-08,6.01850176612679e-07,272.322130030015
"Psme2",141.900571848466,2.51226309004902,3.9763427053413e-28,7.20866750892763e-26,860.061630616503
"Nlrc5",64.7764515803693,2.49752546622123,2.17239898596493e-10,9.23043277474059e-09,391.885426433819
"Lacc1",26.8866183445764,2.46707488452572,7.18863329614334e-06,0.000136701329673514,162.280887866919
"Cers6",21.4481048066444,2.46345739420467,3.05339669011087e-05,0.000497197808341806,129.15761275669
"Socs3",75.6455273221949,2.4542418243454,3.96927903653324e-09,1.389758728757e-07,455.299901935031
"Casp1",45.3649549402931,2.43280576964416,1.18983664423457e-09,4.53583520732039e-08,275.19134216847
"Sdc4",189.51050156126,2.42964718144012,8.89234066498529e-14,5.99534835908678e-12,1132.28757696555
"Marcksl1",169.740107094788,2.39925318733802,1.78832695118186e-21,2.27955801058463e-19,1022.35637814902
"Ccl3",1197.45065616474,2.39435076102352,7.49448752292061e-35,2.26444552636986e-32,7147.4273003948
"Znfx1",109.922408540595,2.38983144406233,1.80845243422171e-17,1.75635178075961e-15,665.72939616129
"Parp10",26.7161914304876,2.38964298312093,1.95597420421667e-06,4.30103438221014e-05,162.710196685098
"Lgals9",119.207223596561,2.3715074433248,1.06727180909105e-17,1.04901246006805e-15,721.527349651465
"Peli1",74.7172203856213,2.35772496114034,2.39680390233791e-09,8.84756843225006e-08,447.8251924532
"Samd9l",64.6897655060124,2.35204423884581,2.89567737044025e-10,1.20773742706055e-08,391.748043022301
"Sod2",337.272639756318,2.31032184820819,2.68728756269273e-52,1.56592085260338e-49,2044.14361695334
"Epsti1",36.4735888197653,2.30702943232091,6.96274173227037e-08,1.95196037978906e-06,221.675342796847
"Itgal",55.4896147463876,2.28484032465631,1.0191087347223e-12,5.77353406796147e-11,337.628144819579
"5730508B09Rik",23.3196751805271,2.28095656833933,3.38263612783777e-05,0.000547530665295646,141.374376883458
"Procr",59.2601209690549,2.27412152701935,8.25045022181248e-09,2.79282875143345e-07,359.722609021614
"Nlrp3",36.165093517376,2.2675888559389,7.09741284918118e-07,1.69796756667507e-05,218.575837557826
"Fam102b",41.8843607975404,2.26202925676641,9.41453911064724e-09,3.13484939039429e-07,254.07719518532
"Gadd45b",99.7714477986011,2.26082821291458,8.56015301298037e-14,5.81947735665782e-12,600.91878724606
"Fscn1",58.7443336060433,2.25706024493914,6.81094018838353e-12,3.45115838862316e-10,355.039738835257
"Etnk1",34.4010752301072,2.2490413914406,2.53770579808728e-07,6.40947489188731e-06,207.955396919473
"Apobec3",23.1596629963131,2.24474312239337,2.47381106112751e-05,0.000412291064082335,140.542570890702
"St3gal5",62.58269795245,2.23853666900832,2.2771626856722e-13,1.42900716843952e-11,376.930362134702
"Tnf",1583.7790662543,2.22560772378611,1.402944391367e-30,2.93467188327486e-28,9474.84600957582
"Eif2ak2",27.8482503976767,2.2249733597266,1.77682833522196e-05,0.000306455931474434,168.732200411598
"Dnaja1",34.5203671986609,2.22411578723943,3.48957048961174e-06,7.29946565493657e-05,209.29938820808
"Dse",28.3256727307844,2.21953629746644,5.9207967017263e-07,1.43328959918941e-05,172.043319888865
"Ccdc71l",19.5773838701961,2.21799126639723,6.88636835960912e-05,0.000994318461552056,119.443334001163
"Slfn2",143.394023509185,2.20144116872551,8.56837698636029e-21,1.04329581275712e-18,867.600765379305
"Gpr141",26.9427463417875,2.18939502553463,1.34210775148797e-06,3.04136528795524e-05,163.960945922264
